Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.147204,0.147427,0.146242,0.146524,0.146524,0
2003-12-02,0.146531,0.148344,0.146400,0.148069,0.148069,0
2003-12-03,0.148080,0.149294,0.147951,0.149205,0.149205,0
2003-12-04,0.149147,0.150249,0.148372,0.149379,0.149379,0
2003-12-05,0.149568,0.150596,0.149258,0.150471,0.150471,0
2003-12-08,0.150462,0.151478,0.150245,0.150299,0.150299,0
2003-12-09,0.150340,0.151320,0.150166,0.150784,0.150784,0
2003-12-10,0.150795,0.151010,0.149618,0.149970,0.149970,0
2003-12-11,0.149752,0.150184,0.148106,0.149687,0.149687,0
2003-12-12,0.149609,0.150328,0.148945,0.150240,0.150240,0
2003-12-15,0.148918,0.149999,0.148697,0.149730,0.149730,0
2003-12-16,0.149642,0.150333,0.149508,0.149903,0.149903,0
2003-12-17,0.149867,0.150734,0.148845,0.149102,0.149102,0
2003-12-18,0.149107,0.149457,0.147789,0.148858,0.148858,0
2003-12-19,0.148781,0.149459,0.148348,0.148803,0.148803,0
2003-12-22,0.148383,0.149716,0.148333,0.148441,0.148441,0
2003-12-23,0.148460,0.148745,0.147734,0.147909,0.147909,0
2003-12-24,0.147914,0.148344,0.146981,0.148229,0.148229,0
2003-12-25,0.148258,0.148324,0.147783,0.148146,0.148146,0
2003-12-26,0.148146,0.148412,0.147065,0.147065,0.147065,0
2003-12-29,0.147271,0.148635,0.147223,0.148234,0.148234,0
2003-12-30,0.148238,0.149332,0.148232,0.149031,0.149031,0
2003-12-31,0.149038,0.150739,0.148971,0.149916,0.149916,0
2004-01-01,0.150220,0.150220,0.149151,0.149891,0.149891,0
2004-01-02,0.149898,0.150602,0.149240,0.150448,0.150448,0
2004-01-05,0.150390,0.150937,0.149934,0.150265,0.150265,0
2004-01-06,0.150263,0.150670,0.148542,0.148798,0.148798,0
2004-01-07,0.148834,0.149058,0.146411,0.146783,0.146783,0
2004-01-08,0.146720,0.147870,0.145824,0.147693,0.147693,0
2004-01-09,0.147671,0.148976,0.145875,0.148412,0.148412,0
2004-01-12,0.148692,0.149425,0.147765,0.147927,0.147927,0
2004-01-13,0.147938,0.149772,0.147621,0.149223,0.149223,0
2004-01-14,0.149225,0.149225,0.147710,0.148295,0.148295,0
2004-01-15,0.148309,0.148681,0.146421,0.146789,0.146789,0
2004-01-16,0.146832,0.146994,0.143565,0.144469,0.144469,0
2004-01-19,0.144076,0.144590,0.143240,0.143470,0.143470,0
2004-01-20,0.143534,0.146201,0.143429,0.145681,0.145681,0
2004-01-21,0.145584,0.148181,0.145359,0.148236,0.148236,0
2004-01-22,0.148100,0.149185,0.147534,0.147925,0.147925,0
2004-01-23,0.148060,0.148965,0.145921,0.146263,0.146263,0
2004-01-26,0.146028,0.146729,0.144427,0.144896,0.144896,0
2004-01-27,0.144783,0.147059,0.144342,0.146709,0.146709,0
2004-01-28,0.146707,0.146707,0.142733,0.143072,0.143072,0
2004-01-29,0.143076,0.143815,0.141219,0.141802,0.141802,0
2004-01-30,0.141800,0.143254,0.140786,0.142603,0.142603,0
2004-02-02,0.142550,0.143738,0.142209,0.143162,0.143162,0
2004-02-03,0.143649,0.144159,0.143109,0.143565,0.143565,0
2004-02-04,0.143559,0.144159,0.143109,0.143649,0.143649,0
2004-02-05,0.143649,0.144640,0.143299,0.143895,0.143895,0
2004-02-06,0.143808,0.145491,0.143168,0.145370,0.145370,0
2004-02-09,0.144747,0.146550,0.144693,0.146103,0.146103,0
2004-02-10,0.146103,0.147608,0.143796,0.143943,0.143943,0
2004-02-11,0.143943,0.145001,0.142886,0.144737,0.144737,0
2004-02-12,0.144743,0.145178,0.144227,0.144850,0.144850,0
2004-02-13,0.144850,0.146028,0.144150,0.144275,0.144275,0
2004-02-16,0.144246,0.145945,0.144020,0.144352,0.144352,0
2004-02-17,0.144340,0.146610,0.144298,0.146353,0.146353,0
2004-02-18,0.146451,0.147145,0.143906,0.144532,0.144532,0
2004-02-19,0.144505,0.144928,0.143466,0.144762,0.144762,0
2004-02-20,0.144781,0.144846,0.141949,0.142108,0.142108,0
2004-02-23,0.142195,0.143312,0.141776,0.142969,0.142969,0
2004-02-24,0.143002,0.144329,0.142517,0.143802,0.143802,0
2004-02-25,0.143808,0.144140,0.141367,0.141707,0.141707,0
2004-02-26,0.141707,0.142001,0.140994,0.141864,0.141864,0
2004-02-27,0.141848,0.142920,0.141207,0.142920,0.142920,0
2004-03-01,0.143299,0.143933,0.142894,0.143513,0.143513,0
